NumParticles,FrameTime,UpdateTime
0,0.001412,0.000014
1,0.040185,0.000047
1,0.016122,0.000015
2,0.001357,0.000019
2,0.000629,0.000007
2,0.000499,0.000007
2,0.000488,0.000007
2,0.000441,0.000007
2,0.001242,0.000008
3,0.000551,0.000016
3,0.000452,0.000008
3,0.000404,0.000008
4,0.000401,0.000014
4,0.000458,0.000010
4,0.000471,0.000010
4,0.000451,0.000010
4,0.000440,0.000010
4,0.000545,0.000011
4,0.000515,0.000010
4,0.000594,0.000012
4,0.000573,0.000011
4,0.000591,0.000013
4,0.000566,0.000012
4,0.001749,0.000017
4,0.000730,0.000011
4,0.000568,0.000012
4,0.000518,0.000016
5,0.000956,0.000035
6,0.000715,0.000015
7,0.000599,0.000027
7,0.000615,0.000017
7,0.000540,0.000015
7,0.000492,0.000015
7,0.000476,0.000015
7,0.000494,0.000015
8,0.000488,0.000017
9,0.000501,0.000021
9,0.000490,0.000017
9,0.000481,0.000018
9,0.000496,0.000020
9,0.000482,0.000018
9,0.000484,0.000018
10,0.000496,0.000036
10,0.000576,0.000019
10,0.000479,0.000019
11,0.000495,0.000022
11,0.000520,0.000022
11,0.000558,0.000022
11,0.000662,0.000024
11,0.000786,0.000027
11,0.000812,0.000023
11,0.000771,0.000026
11,0.000743,0.000037
11,0.001105,0.000032
12,0.000775,0.000029
12,0.000676,0.000026
13,0.000638,0.000028
13,0.000635,0.000026
13,0.000646,0.000024
13,0.000634,0.000024
13,0.000638,0.000029
13,0.000641,0.000025
13,0.000515,0.000024
13,0.000508,0.000026
13,0.000620,0.000024
13,0.000521,0.000024
13,0.000525,0.000025
13,0.000510,0.000024
13,0.000522,0.000026
13,0.000502,0.000024
13,0.000505,0.000024
14,0.000519,0.000039
14,0.000537,0.000026
15,0.000573,0.000030
15,0.000662,0.000029
15,0.000848,0.000044
16,0.000983,0.000056
16,0.000776,0.000032
16,0.000684,0.000030
16,0.000645,0.000030
16,0.000917,0.000062
16,0.000976,0.000056
16,0.000853,0.000028
16,0.000710,0.000029
16,0.000567,0.000029
16,0.000577,0.000041
17,0.000686,0.000040
17,0.000698,0.000036
17,0.000641,0.000036
17,0.000645,0.000037
17,0.000661,0.000037
17,0.000655,0.000036
17,0.000637,0.000037
17,0.000651,0.000037
17,0.000662,0.000037
17,0.000789,0.000152
17,0.000839,0.000088
18,0.000876,0.000036
18,0.001050,0.000033
18,0.000884,0.000036
18,0.000950,0.000071
18,0.000940,0.000112
18,0.000895,0.000094
18,0.000842,0.000090
18,0.000829,0.000038
18,0.000773,0.000038
18,0.000678,0.000036
19,0.000630,0.000040
19,0.000646,0.000038
20,0.000656,0.000052
21,0.000661,0.000042
21,0.000654,0.000041
21,0.000653,0.000042
21,0.000640,0.000042
22,0.000651,0.000044
22,0.000648,0.000043
22,0.000650,0.000043
22,0.000644,0.000066
22,0.000890,0.000047
22,0.001076,0.000044
22,0.001109,0.000043
22,0.000843,0.000128
23,0.001450,0.000067
23,0.000965,0.000094
23,0.000829,0.000045
23,0.000805,0.000047
23,0.000789,0.000044
23,0.000696,0.000045
23,0.000711,0.000049
23,0.000730,0.000050
23,0.000737,0.000049
23,0.000712,0.000048
23,0.000724,0.000048
23,0.000706,0.000049
23,0.000698,0.000049
23,0.000701,0.000049
23,0.000704,0.000049
23,0.000720,0.000049
23,0.000907,0.000111
23,0.001036,0.000077
23,0.001185,0.000073
24,0.001116,0.000080
24,0.001137,0.000067
24,0.000833,0.000062
24,0.000745,0.000058
24,0.000666,0.000057
24,0.000677,0.000070
24,0.000743,0.000070
24,0.000732,0.000056
24,0.000567,0.000044
24,0.000512,0.000044
24,0.000492,0.000047
24,0.000500,0.000049
24,0.000500,0.000050
24,0.000498,0.000046
24,0.000504,0.000046
24,0.000506,0.000046
24,0.000518,0.000047
25,0.000508,0.000054
26,0.000520,0.000051
26,0.000517,0.000050
26,0.000514,0.000051
26,0.000559,0.000056
26,0.000662,0.000052
26,0.000718,0.000053
26,0.000841,0.000051
26,0.000745,0.000063
26,0.000798,0.000064
26,0.000815,0.000082
27,0.000813,0.000077
27,0.000796,0.000084
27,0.000811,0.000081
27,0.000825,0.000080
27,0.000671,0.000081
28,0.000671,0.000086
28,0.000668,0.000081
28,0.000641,0.000081
28,0.000630,0.000067
28,0.000625,0.000081
28,0.000624,0.000079
28,0.000618,0.000081
28,0.000667,0.000080
29,0.000615,0.000090
29,0.000634,0.000083
29,0.000633,0.000083
29,0.000701,0.000084
29,0.000725,0.000088
29,0.001439,0.000126
30,0.001394,0.000104
30,0.001055,0.000065
30,0.000861,0.000079
31,0.000894,0.000084
31,0.000882,0.000071
31,0.000884,0.000072
31,0.000850,0.000070
31,0.000775,0.000068
31,0.000701,0.000066
32,0.000696,0.000072
32,0.000708,0.000068
32,0.000733,0.000069
32,0.000716,0.000070
33,0.000700,0.000073
34,0.000703,0.000075
34,0.000700,0.000072
35,0.000698,0.000074
35,0.000698,0.000073
36,0.000757,0.000080
36,0.000934,0.000082
36,0.001046,0.000085
36,0.001206,0.000115
36,0.001017,0.000100
36,0.000925,0.000083
37,0.001335,0.000072
37,0.000728,0.000069
37,0.000680,0.000067
37,0.000634,0.000066
37,0.000637,0.000067
37,0.000659,0.000066
37,0.000630,0.000067
38,0.000627,0.000071
39,0.000669,0.000069
40,0.000656,0.000071
40,0.000639,0.000071
40,0.000646,0.000073
40,0.000656,0.000074
40,0.000644,0.000071
40,0.000630,0.000073
40,0.000651,0.000074
40,0.000817,0.000073
40,0.000909,0.000078
40,0.001054,0.000072
40,0.000784,0.000074
41,0.001042,0.000083
41,0.001048,0.000082
41,0.000915,0.000078
41,0.000878,0.000075
41,0.000829,0.000074
41,0.000722,0.000075
42,0.000680,0.000079
43,0.000725,0.000084
43,0.000712,0.000075
44,0.000684,0.000079
45,0.000695,0.000085
46,0.000744,0.000088
46,0.000738,0.000084
46,0.000720,0.000081
47,0.000694,0.000086
48,0.000707,0.000086
48,0.000691,0.000074
49,0.000784,0.000074
49,0.000964,0.000075
50,0.000786,0.000088
50,0.000900,0.000074
50,0.000934,0.000117
50,0.000984,0.000114
50,0.000946,0.000104
50,0.000900,0.000102
50,0.000840,0.000101
50,0.000756,0.000096
51,0.000738,0.000102
51,0.000728,0.000100
51,0.000712,0.000100
51,0.000729,0.000100
52,0.000732,0.000102
53,0.000720,0.000108
54,0.000710,0.000104
54,0.000715,0.000105
54,0.000722,0.000103
54,0.000721,0.000105
54,0.000817,0.000107
54,0.000999,0.000111
54,0.001200,0.000111
54,0.001542,0.000153
54,0.001254,0.000125
54,0.000896,0.000089
55,0.000802,0.000084
55,0.000850,0.000085
55,0.000831,0.000085
55,0.000748,0.000080
55,0.000657,0.000084
55,0.000673,0.000082
55,0.000650,0.000083
55,0.000691,0.000082
55,0.000660,0.000078
55,0.000678,0.000083
55,0.000690,0.000083
55,0.000670,0.000079
55,0.000677,0.000081
55,0.000728,0.000080
55,0.000719,0.000084
55,0.000865,0.000088
56,0.000978,0.000092
56,0.001115,0.000129
56,0.000885,0.000123
56,0.001319,0.000369
56,0.001564,0.000149
57,0.001119,0.000154
57,0.000964,0.000136
57,0.000921,0.000148
57,0.001040,0.000090
57,0.000812,0.000080
57,0.000650,0.000082
58,0.000661,0.000090
58,0.000666,0.000086
58,0.000649,0.000087
58,0.000636,0.000086
58,0.000646,0.000083
58,0.000641,0.000082
58,0.000754,0.000090
58,0.000974,0.000091
58,0.001375,0.000144
59,0.001390,0.000134
59,0.000979,0.000118
59,0.000948,0.000116
59,0.000925,0.000114
59,0.000830,0.000114
59,0.000755,0.000115
59,0.001206,0.000114
59,0.000726,0.000114
59,0.000709,0.000118
59,0.000694,0.000114
59,0.000698,0.000113
59,0.000707,0.000114
59,0.000700,0.000113
59,0.000703,0.000113
59,0.000695,0.000112
60,0.000699,0.000119
60,0.000780,0.000124
60,0.001056,0.000122
60,0.001082,0.000129
60,0.001010,0.000117
60,0.000928,0.000128
60,0.000936,0.000124
60,0.000883,0.000166
60,0.001300,0.000194
60,0.001055,0.000174
60,0.000956,0.000177
61,0.000924,0.000183
61,0.000935,0.000173
61,0.000894,0.000172
61,0.000901,0.000177
62,0.000887,0.000180
62,0.000887,0.000175
63,0.000900,0.000177
63,0.000933,0.000185
63,0.001353,0.000198
63,0.001525,0.000200
63,0.001368,0.000193
63,0.001379,0.000189
64,0.001156,0.000191
64,0.001103,0.000116
64,0.000848,0.000094
64,0.000793,0.000094
64,0.000762,0.000096
64,0.000769,0.000092
64,0.000771,0.000093
64,0.000755,0.000093
64,0.000731,0.000090
64,0.000737,0.000092
64,0.000746,0.000092
64,0.000786,0.000090
64,0.000836,0.000118
64,0.000975,0.000136
64,0.001590,0.000142
64,0.001040,0.000158
64,0.001344,0.000288
64,0.001443,0.000158
64,0.005393,0.000155
64,0.001307,0.000115
64,0.000890,0.000120
64,0.000778,0.000092
64,0.000694,0.000095
64,0.000692,0.000086
64,0.000673,0.000093
64,0.000868,0.000100
64,0.001051,0.000114
64,0.001068,0.000094
64,0.001713,0.000194
64,0.001287,0.000097
64,0.000845,0.000094
65,0.000628,0.000095
65,0.000660,0.000098
65,0.001091,0.000169
65,0.001160,0.000137
66,0.001019,0.000153
66,0.000954,0.000101
66,0.000689,0.000095
66,0.000725,0.000092
66,0.000721,0.000092
66,0.000717,0.000093
67,0.000707,0.000098
68,0.000718,0.000105
68,0.000882,0.000102
68,0.001109,0.000102
68,0.001134,0.000102
68,0.000999,0.000166
68,0.001118,0.000104
68,0.000973,0.000104
68,0.000920,0.000100
68,0.000816,0.000182
68,0.000948,0.000099
68,0.000801,0.000102
68,0.000754,0.000102
68,0.000752,0.000096
68,0.000738,0.000095
68,0.000727,0.000095
68,0.000718,0.000096
68,0.000696,0.000095
68,0.000688,0.000097
68,0.000683,0.000097
69,0.000681,0.000103
69,0.000752,0.000106
69,0.001019,0.000108
69,0.001202,0.000107
69,0.001163,0.000109
69,0.001170,0.000111
69,0.001126,0.000218
69,0.001386,0.000203
70,0.001174,0.000126
70,0.001047,0.000128
70,0.000992,0.000119
70,0.000836,0.000100
70,0.000833,0.000100
70,0.000776,0.000098
71,0.000759,0.000098
72,0.000758,0.000101
73,0.000811,0.000106
73,0.000837,0.000105
73,0.000980,0.000109
73,0.001326,0.000351
73,0.001549,0.000175
73,0.001243,0.000174
73,0.001053,0.000108
73,0.001033,0.000133
74,0.001157,0.000141
75,0.001024,0.000134
75,0.000851,0.000107
76,0.000764,0.000111
76,0.000741,0.000106
76,0.000724,0.000110
76,0.000775,0.000109
76,0.000789,0.000109
76,0.000766,0.000111
76,0.000742,0.000106
76,0.000719,0.000113
76,0.000786,0.000113
76,0.000914,0.000115
76,0.001100,0.000117
76,0.001106,0.000115
76,0.001188,0.000121
76,0.001066,0.000114
76,0.001368,0.000230
76,0.001306,0.000210
76,0.001061,0.000227
76,0.001020,0.000226
76,0.001052,0.000212
76,0.001056,0.000220
76,0.001015,0.000210
76,0.000999,0.000218
77,0.000995,0.000232
77,0.001086,0.000209
77,0.001125,0.000230
77,0.001652,0.000115
77,0.001036,0.000114
77,0.000966,0.000178
77,0.001509,0.000239
77,0.001238,0.000230
77,0.001138,0.000212
77,0.001089,0.000226
78,0.001084,0.000235
78,0.001036,0.000214
78,0.001013,0.000224
78,0.001007,0.000223
78,0.001037,0.000216
78,0.001028,0.000225
78,0.002338,0.000247
78,0.001510,0.000224
78,0.001512,0.000244
78,0.002060,0.000244
78,0.001330,0.000141
78,0.001031,0.000138
78,0.001026,0.000149
78,0.001151,0.000142
78,0.000960,0.000140
78,0.000912,0.000138
78,0.000918,0.000138
79,0.000896,0.000139
79,0.000882,0.000140
79,0.000883,0.000135
79,0.000951,0.000146
79,0.001348,0.000145
80,0.001319,0.000134
80,0.001336,0.000194
80,0.001061,0.000117
80,0.000844,0.000118
80,0.000819,0.000113
80,0.000812,0.000115
80,0.000779,0.000113
80,0.000792,0.000117
80,0.000809,0.000114
80,0.000807,0.000116
80,0.000776,0.000113
80,0.000789,0.000112
80,0.000812,0.000110
80,0.000772,0.000115
80,0.000795,0.000115
80,0.000784,0.000113
80,0.000776,0.000117
80,0.000970,0.000124
81,0.001281,0.000133
81,0.001027,0.000117
81,0.001168,0.000132
81,0.001093,0.000128
81,0.001068,0.000130
82,0.001039,0.000179
82,0.001109,0.000115
82,0.000840,0.000118
82,0.000855,0.000119
83,0.000818,0.000123
83,0.000806,0.000119
84,0.000793,0.000119
85,0.000785,0.000123
85,0.000815,0.000120
86,0.000784,0.000122
86,0.000791,0.000124
86,0.000885,0.000128
86,0.001106,0.000132
86,0.001298,0.000209
86,0.001207,0.000130
86,0.001037,0.000140
86,0.001014,0.000126
86,0.001192,0.000181
86,0.001404,0.000166
87,0.001152,0.000166
87,0.000904,0.000163
87,0.000863,0.000162
87,0.000884,0.000161
87,0.000892,0.000164
87,0.000891,0.000162
87,0.000874,0.000165
87,0.000934,0.000162
87,0.000973,0.000169
87,0.001288,0.000169
88,0.001388,0.000192
88,0.001267,0.000173
88,0.001152,0.000188
88,0.001264,0.000175
88,0.001109,0.000166
88,0.000949,0.000165
89,0.000881,0.000171
89,0.000934,0.000167
89,0.000914,0.000165
89,0.000901,0.000165
89,0.000885,0.000166
89,0.000890,0.000166
89,0.000923,0.000166
89,0.000905,0.000165
89,0.000955,0.000177
89,0.001386,0.000170
90,0.001273,0.000172
90,0.001200,0.000185
90,0.001575,0.000293
90,0.001252,0.000124
90,0.000952,0.000126
90,0.000829,0.000129
90,0.000809,0.000130
90,0.000808,0.000129
90,0.000858,0.000125
90,0.000818,0.000125
90,0.000790,0.000123
90,0.000785,0.000123
90,0.000819,0.000125
90,0.000833,0.000126
90,0.000803,0.000121
90,0.000876,0.000138
90,0.001180,0.000134
90,0.001369,0.000200
90,0.001844,0.000170
90,0.001338,0.000216
90,0.001094,0.000133
90,0.000888,0.000131
90,0.000835,0.000129
91,0.000808,0.000134
91,0.000821,0.000133
91,0.000819,0.000128
91,0.000819,0.000129
91,0.000810,0.000130
92,0.000805,0.000133
92,0.000866,0.000128
92,0.000838,0.000132
92,0.000823,0.000131
92,0.000930,0.000136
