Number of Particles,Frame Time,Update Time
0,0.001194,0.00001
0,0.030897,0.000013
0,0.000465,0.000009
0,0.00032,0.000005
0,0.000326,0.000004
0,0.00033,0.000004
0,0.000319,0.000004
0,0.000329,0.000008
1,0.002193,0.000356
2,0.000708,0.000438
3,0.000761,0.000521
3,0.000848,0.000479
3,0.000803,0.000406
3,0.000735,0.000535
3,0.00086,0.000459
3,0.000954,0.000465
3,0.001035,0.000348
3,0.000663,0.0003
3,0.000639,0.00034
3,0.000654,0.00034
3,0.000781,0.000478
3,0.001004,0.000414
3,0.000791,0.000363
3,0.0007,0.000357
3,0.000677,0.000363
3,0.000677,0.000322
3,0.000624,0.000314
3,0.000626,0.000343
3,0.000654,0.000329
3,0.000669,0.000404
3,0.000738,0.000389
4,0.000721,0.000442
5,0.000761,0.000614
5,0.000927,0.000591
5,0.000933,0.000717
5,0.001062,0.000614
6,0.000956,0.000794
7,0.001136,0.000863
7,0.001203,0.000752
7,0.001093,0.001053
7,0.001521,0.000841
7,0.00133,0.001021
7,0.001377,0.000791
7,0.001184,0.000811
7,0.001147,0.000837
7,0.001163,0.000776
7,0.00112,0.000865
7,0.001229,0.000832
7,0.001175,0.000813
7,0.001127,0.000722
7,0.001052,0.000804
7,0.001133,0.000727
7,0.001058,0.000822
8,0.001245,0.001135
8,0.001557,0.000859
8,0.001234,0.00091
8,0.00125,0.000712
8,0.001055,0.000778
9,0.001117,0.000829
10,0.00117,0.000931
10,0.001272,0.000989
10,0.00133,0.000887
10,0.001228,0.000926
10,0.001274,0.000924
10,0.001366,0.000889
10,0.001311,0.001043
10,0.001422,0.001117
10,0.001566,0.001054
10,0.001427,0.000973
10,0.001313,0.000936
10,0.001293,0.000899
10,0.001255,0.000912
10,0.001273,0.000931
11,0.001303,0.001054
11,0.001408,0.000996
11,0.001339,0.001073
11,0.001442,0.000998
11,0.001436,0.001043
11,0.001422,0.001157
12,0.001577,0.001097
13,0.001474,0.001149
13,0.001522,0.001253
14,0.001615,0.001226
14,0.001597,0.001265
14,0.001631,0.00137
14,0.001738,0.001215
14,0.001589,0.001297
15,0.001747,0.001396
15,0.001789,0.001487
16,0.001936,0.001395
16,0.001823,0.001448
17,0.001842,0.001479
17,0.001863,0.001537
17,0.001914,0.001546
17,0.001924,0.001652
17,0.00218,0.001836
18,0.002299,0.001693
18,0.00217,0.001781
19,0.002215,0.00173
20,0.002139,0.001759
20,0.002165,0.001656
20,0.002057,0.001739
20,0.002141,0.001946
20,0.002414,0.001709
20,0.002125,0.001839
20,0.002295,0.001655
20,0.002071,0.001832
20,0.002257,0.001759
21,0.00217,0.002041
21,0.002442,0.001868
21,0.002385,0.001921
21,0.002425,0.002108
21,0.00266,0.001942
21,0.002529,0.002022
22,0.002495,0.001957
22,0.00239,0.001951
22,0.002534,0.002092
22,0.002539,0.001953
22,0.002372,0.002093
22,0.002641,0.002033
22,0.002535,0.002055
22,0.002595,0.002365
22,0.002881,0.002379
22,0.002922,0.002684
22,0.003108,0.002138
23,0.002604,0.002002
24,0.002428,0.002104
24,0.002521,0.002128
25,0.002632,0.002266
25,0.002707,0.002208
25,0.002627,0.002212
25,0.002684,0.002343
25,0.002788,0.002134
25,0.002556,0.002124
25,0.002585,0.002264
26,0.002695,0.002374
26,0.002796,0.002311
26,0.002826,0.002406
27,0.002868,0.002423
27,0.002857,0.002577
27,0.003055,0.002343
27,0.002783,0.002327
27,0.00296,0.00264
27,0.003132,0.002633
27,0.003125,0.002407
27,0.002859,0.002352
27,0.002783,0.002217
27,0.002644,0.002296
28,0.002726,0.00264
28,0.003142,0.002456
28,0.003033,0.002482
28,0.002966,0.002536
28,0.002983,0.002314
28,0.002749,0.002541
28,0.002999,0.002423
28,0.002915,0.002507
28,0.002984,0.002349
28,0.00279,0.00232
28,0.002751,0.002423
28,0.002855,0.002446
28,0.003017,0.002505
28,0.003057,0.002908
29,0.003515,0.002815
30,0.003426,0.002967
30,0.003502,0.002847
30,0.003383,0.003149
30,0.00365,0.003137
30,0.0036,0.002547
30,0.002996,0.002482
30,0.002927,0.002471
30,0.003008,0.002828
30,0.003332,0.002588
30,0.003052,0.002609
30,0.003053,0.002558
30,0.003004,0.002568
30,0.003012,0.002826
30,0.003351,0.002655
30,0.003106,0.002626
30,0.003111,0.002484
30,0.002926,0.002592
30,0.003032,0.002637
30,0.003162,0.00258
30,0.003044,0.002592
30,0.003037,0.00258
30,0.003042,0.002553
30,0.003002,0.002676
30,0.003149,0.002676
30,0.003178,0.002429
30,0.002892,0.00261
30,0.003063,0.0027
30,0.003149,0.002866
30,0.003385,0.002782
31,0.0033,0.002524
31,0.002988,0.002647
31,0.003096,0.002699
31,0.003143,0.002663
31,0.003146,0.002755
31,0.003268,0.002597
31,0.00306,0.002747
31,0.003204,0.002688
31,0.003132,0.002732
32,0.003231,0.002713
32,0.00324,0.002769
32,0.003271,0.002845
32,0.00331,0.002848
32,0.003474,0.002714
33,0.003189,0.00288
34,0.003416,0.002932
34,0.003485,0.002994
34,0.003476,0.003059
34,0.003547,0.00294
34,0.003433,0.002951
34,0.003761,0.002934
35,0.003413,0.002874
36,0.003338,0.003294
37,0.003828,0.003177
37,0.003665,0.003345
37,0.003867,0.003056
37,0.003533,0.003155
37,0.003689,0.003209
37,0.003699,0.003214
37,0.003779,0.003113
37,0.0036,0.003077
37,0.003593,0.003113
37,0.003626,0.003215
38,0.003716,0.003383
38,0.003914,0.003266
38,0.003927,0.003227
